Model,R Squared,MSE,MSLE,Accuracy,R2 CV,RMSE CV,RMSLE CV,Accuracy CV,Elapsed
Decision Tree,-1.8423707440100876,0.41954786158824037,0.290808417369843,0.8239795918367347,0.5934361968306922,0.3171294707750182,0.21981739854017146,0.9077332162242022,0.4805266857147217
Bagging Ensemble,-0.9361076082387554,0.3462628469583092,0.24001111610181183,0.8801020408163265,0.7939866555462887,0.22462794043426831,0.15570022358700042,0.9381375383259783,9.615888357162476
Ada Boost Ensemble,-2.130727196300966,0.44031528592635544,0.3052032989972994,0.8061224489795918,0.46219349457881564,0.36368418471618946,0.25208666725026907,0.8978432207126096,2.147859811782837
Random Forest,-0.6889449348465739,0.3234066120763363,0.22416838133515646,0.8954081632653061,0.8796914095079232,0.17086037383770192,0.11843138639502133,0.9462600928208408,4.062973976135254
Gradient Boost Ensemble,-0.9361076082387554,0.3462628469583092,0.24001111610181183,0.8801020408163265,0.7283819849874896,0.25796640627898487,0.17880868719145976,0.9381375383259783,7.721794128417969
Extreme Gradient Boost Ensemble,-0.565363598150483,0.31134992453861954,0.21581132236149586,0.9030612244897959,0.8887823185988323,0.16045312136575,0.11121762868671234,0.9502953354035764,1.8902382850646973
